Ord.Date & Time,Exch.,Symbol,Action,Ord. Qty,Discl. Qty,Exec. Qty,Ord. Price,Trigger Price,Book Type,Sett. Type,Terminal Id,Order Type,Source,Product,Status,Reason,Ref. No.,Exch. Order No.,BasketId/SIP REF. No.
1/9/2026 9:49,NSE,NEULANDLABEQ,BUY,2,0,2,14945,0,Reg. Lot,---,6290645,LIMIT,MOBILE,CnC-Intraday,Confirmed Trade,---,26010900085418,1200000014126900,0
2/9/2026 16:34,NSE,SKMEGGPRODEQ,SELL,50,0,0,196,0,Reg. Lot,---,6290645,LIMIT,MOBILE,E-Margin,Expired Order,Exch Cancelled Batch Order,26020900420199,1300000090278620,0
6/8/2026 13:10,BSE,KNRCONEQ,BUY,5,0,5,127.85,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26060800302212,1.78089588450097E+018,0
6/8/2026 11:57,NSE,WIPROEQ,BUY,10,0,10,185,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26060800271159,1300000050873320,0
1/8/2026 15:21,NSE,CIPLAEQ,BUY,2,0,2,1460.6,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26010800442603,1000000064136270,0
1/8/2026 14:40,NSE,POLYCABEQ,BUY,3,0,3,7755,0,Reg. Lot,---,6290645,LIMIT,MOBILE,CnC-Intraday,Confirmed Trade,---,26010800395829,1200000065960610,0
1/8/2026 9:44,NSE,POLYCABEQ,SELL,3,0,3,7900,0,Reg. Lot,---,6290645,LIMIT,MOBILE,CnC-Intraday,Confirmed Trade,---,26010800083810,1200000010314240,0
4/8/2026 12:07,BSE,CIPLAEQ,BUY,2,0,2,1219,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26040800289300,1.77562487330487E+018,0
4/8/2026 11:59,NSE,SPANDANAEQ,BUY,2,0,2,214.9,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26040800286588,1300000050483670,0
1/7/2026 14:15,NSE,NEULANDLABEQ,SELL,1,0,1,15091,0,Reg. Lot,---,6290645,LIMIT,MOBILE,CnC-Intraday,Confirmed Trade,---,26010700337962,1200000055314620,0
1/7/2026 9:50,NSE,NEULANDLABEQ,BUY,1,0,1,14852,0,Reg. Lot,---,6290645,LIMIT,MOBILE,CnC-Intraday,Confirmed Trade,---,26010700088518,1200000011904450,0
1/7/2026 9:34,NSE,SKMEGGPRODEQ,BUY,25,0,25,372.55,0,Reg. Lot,---,6290645,LIMIT,MOBILE,E-Margin,Confirmed Trade,---,26010700062867,1300000008857050,0
3/6/2026 16:32,NSE,SPANDANAEQ,BUY,2,0,0,234,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Expired Order,Exch Cancelled Batch Order,26030600363914,1300000072871940,0
1/6/2026 12:28,NSE,ITCEQ,BUY,5,0,5,344,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26010600288375,1100000045934130,0
1/6/2026 10:15,BSE,GODFRYPHLPEQ,BUY,1,0,1,2224,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26010600136743,1.76767346659464E+018,0
2/6/2026 14:11,NSE,TCSEQ,BUY,1,0,1,2925,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26020600325958,1300000074123960,0
3/5/2026 17:30,BSE,TCSEQ,BUY,1,1,0,2550,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Expired Order,,26030500387532,1.77269874763824E+018,0
6/5/2026 11:12,BSE,TCSEQ,BUY,1,0,1,2222,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26060500215890,1.78063672799407E+018,0
1/5/2026 9:16,BSE,CUPIDEQ,SELL,20,0,20,342,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26010500043753,1.76758380000041E+018,0
2/5/2026 17:30,NSE,ITCEQ,BUY,5,0,0,309.5,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Expired Order,---,26020500359295,1100000078995060,0
2/5/2026 14:14,NSE,GODFRYPHLPEQ,BUY,2,0,2,1974,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26020500357480,1100000078476180,0
2/5/2026 14:09,NSE,TCSEQ,BUY,1,0,1,2990,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26020500352570,1300000084052030,0
2/4/2026 14:51,NSE,BAJFINANCEEQ,SELL,43,0,43,965.3,0,Reg. Lot,---,6290645,LIMIT,MOBILE,E-Margin,Confirmed Trade,---,26020400394962,1000000072591770,0
6/3/2026 13:32,NSE,NEULANDLABEQ,BUY,1,0,1,17080,0,Reg. Lot,---,6290645,LIMIT,MOBILE,CnC-Intraday,Confirmed Trade,---,26060300308638,1200000065990800,0
6/3/2026 9:37,NSE,NEULANDLABEQ,SELL,1,0,1,17212,0,Reg. Lot,---,6290645,LIMIT,MOBILE,CnC-Intraday,Confirmed Trade,---,26060300069372,1200000010773810,0
3/2/2026 15:06,NSE,KEIEQ,SELL,5,0,0,5285,0,Reg. Lot,---,10113,LIMIT,RMS,CnC-Intraday,Cancelled Order,---,26030200087567,1200000013793380,0
3/2/2026 13:21,NSE,PARADEEPEQ,BUY,5,0,5,114.6,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26030200386302,1200000066304400,0
3/2/2026 12:05,NSE,SKMEGGPRODEQ,SELL,30,0,30,164,0,Reg. Lot,---,6290645,LIMIT,MOBILE,E-Margin,Confirmed Trade,---,26030200312780,1300000059183380,0
6/2/2026 12:47,NSE,NEULANDLABEQ,BUY,1,0,1,16826,0,Reg. Lot,---,6290645,LIMIT,MOBILE,CnC-Intraday,Confirmed Trade,---,26060200312041,1200000060821500,0
6/2/2026 9:30,NSE,NEULANDLABEQ,SELL,1,0,1,16875,0,Reg. Lot,---,6290645,LIMIT,MOBILE,CnC-Intraday,Confirmed Trade,---,26060200061812,1200000009163440,0
1/2/2026 9:49,NSE,ITCEQ,BUY,2,0,2,349.15,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26010200085172,1100000013417380,0
2/2/2026 17:50,BSE,SJVNEQ,BUY,20,20,0,68.4,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Expired Order,,26020200330025,1.77001604183226E+018,0
2/2/2026 16:31,NSE,PARADEEPEQ,BUY,10,0,0,128,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Expired Order,Exch Cancelled Batch Order,26020200332953,1200000062200820,0
2/2/2026 13:03,NSE,GODFRYPHLPEQ,BUY,2,0,2,1896,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26020200336033,1100000081190720,0
6/1/2026 17:28,BSE,KALYANKJILEQ,BUY,5,5,0,343,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Expired Order,,26060100434332,1.78030397297881E+018,0
6/1/2026 14:12,BSE,ITCEQ,BUY,5,0,5,281,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26060100355983,1.78029980587647E+018,0
